doi,title,publication_date,subjects,abstract
10.1186/s13677-023-00550-3,Exploring cross-cultural and gender differences in facial expressions: a skin tone analysis using RGB Values,2023-11-20,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","Facial expressions serve as crucial indicators of an individual's psychological state, playing a pivotal role in face-to-face communication. This research focuses on advancing collaboration between machines and humans by undertaking a thorough investigation into facial expressions. Specifically, we delve into the analysis of emotional variations related to changes in skin tone across different genders and cultural backgrounds (Black and white). The research methodology is structured across three phases. In Phase I, image data is acquired and meticulously processed from the Chicago face dataset, resulting in 12,402 augmented images across five classes (Normal case, Benign case, Adenocarcinoma, Squamous-cell-carcinoma, Large-cell-carcinoma). Phase II involves the identification of Regions of Interest (ROI) and the extraction of RGB values as features from these ROIs. Various methods, including those proposed by Kovac, Swift, and Saleh, are employed for precise skin identification. The final phase, Phase III, centers on the in-depth analysis of emotions and presents the research findings. Statistical techniques, such as Descriptive statistics, independent sample T-tests for gender and cross-cultural comparisons, and two-way ANOVA, are applied to RED, BLUE, and GREEN pixel values as response variables, with gender and emotions as explanatory variables. The rejection of null hypotheses prompts a Post Hoc test to discern significant pairs of means. The results indicate that both cross-cultural backgrounds and gender significantly influence pixel colors, underscoring the impact of different localities on pixel coloration. Across various expressions, our results exhibit a minimal 0.05% error rate in all classifications. Notably, the study reveals that green pixel color does not exhibit a significant difference between Anger and Neutral emotions, suggesting a near-identical appearance for green pixels in these emotional states. These findings contribute to a nuanced understanding of the intricate relationship between facial expressions, gender, and cultural backgrounds, providing valuable insights for future research in human–machine interaction and emotion recognition."
10.1186/s13677-023-00538-z,Minimize average tasks processing time in satellite mobile edge computing systems via a deep reinforcement learning method,2023-11-18,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","Recently, the development of Low Earth Orbit (LEO) satellites and the advancement of the Mobile Edge Computing (MEC) paradigm have driven the emergence of the Satellite Mobile Edge Computing (Sat-MEC). Sat-MEC has been developed to support communication and task computation for Internet of Things (IoT) Mobile Devices (IMDs) in the absence of terrestrial networks. However, due to the heterogeneity of tasks and Sat-MEC servers, it is still a great challenge to efficiently schedule tasks in Sat-MEC servers. Here, we propose a scheduling algorithm based on the Deep Reinforcement Learning (DRL) method in the Sat-MEC architecture to minimize the average task processing time. We consider multiple factors, including the cooperation between LEO satellites, the concurrency and heterogeneity of tasks, the dynamics of LEO satellites, the heterogeneity of the computational capacity of Sat-MEC servers, and the heterogeneity of the initial queue for task computation. Further, we use the self-attention mechanism to act as a Q-network to extract high-dimensional dynamic information of tasks and Sat-MEC servers. In this work, we model the Sat-MEC environment simulation at the application level and propose a DRL-based task scheduling algorithm. The simulation results confirm the effectiveness of our proposed scheduling algorithm, which reduces the average task processing time by 22.1 $$\%$$ % , 30.6 $$\%$$ % , and 41.3 $$\%$$ % , compared to the genetic algorithm(GA), the greedy algorithm, and the random algorithm, respectively."
10.1186/s13677-023-00533-4,LAE-GAN: a novel cloud-based Low-light Attention Enhancement Generative Adversarial Network for unpaired text images,2023-11-18,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","With the widespread adoption of mobile multimedia devices, the deployment of compute-intensive inference tasks on edge and resource-constrained devices, particularly in the context of low-light text detection, remains a formidable challenge. Existing deep learning approaches have shown limited effectiveness in restoring images for extremely dark scenes. To address these limitations, this paper presents a novel cloud-based L ow-light A ttention E nhancement G enerative A dversarial N etwork for unpaired text images (LAE-GAN) for the non-paired text image enhancement task in extremely low-light conditions. In the first stage, compressed low-light images are transmitted from edge devices to a cloud server for image enhancement. The LAE-GAN, an end-to-end network comprising a Zero-DCE and AGM-net generator, is designed with a global and local discriminator structure. The initial illumination restoration of extremely low-light images is accomplished using the Zero-DCE network. To enhance text details, we propose an Enhanced Text Attention Mechanism (ETAM) that transforms text information into a comprehensive text attention mechanism across the entire network. The Sobel operator is employed to extract text edge information, while attention is focused on text region details through constraints imposed on the attention map and edge map. Additionally, an AGM-Net module is integrated to reduce noise and fine-tune illumination. In the second stage, the cloud server makes decisions based on user requirements and processes requests in parallel, scaling with the quantity of requests. In the third stage, the enhanced results are transmitted back to edge devices for text detection. Experimental results on widely used LOL and SID low-light datasets demonstrate significant improvements in both quantitative and qualitative analysis, surpassing state-of-the-art enhancement methods in terms of image restoration and text detection."
10.1186/s13677-023-00525-4,An internet of things enabled machine learning model for Energy Theft Prevention System (ETPS) in Smart Cities,2023-11-16,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","Energy theft is a significant problem that needs to be addressed for effective energy management in smart cities. Smart meters are highly utilized in smart cities that help in monitoring the energy utilization level and provide information to the users. However, it is not able to detect energy theft or over-usage. Therefore, we have proposed a multi-objective diagnosing structure named an Energy Theft Prevention System (ETPS) to detect energy theft. The proposed system utilizes a combination of machine learning techniques Gated Recurrent Unit (GRU), Grey Wolf Optimization (GWO), Deep Recurrent Convolutional Neural Network (DDRCNN), and Long Short-Term Memory (LSTM). The statistical validation has been performed using the simple moving average (SMA) method. The results obtained from the simulation have been compared with the existing technique in terms of delivery ratio, throughput, delay, overhead, energy conversation, and network lifetime. The result shows that the proposed system is more effective than existing systems."
10.1186/s13677-023-00508-5,NuWa: off-state tolerant backscattering system with uncontrolled excitation traffics,2023-11-16,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","Backscatter communication relies on passive reflections of the existing radio frequency (RF) signals, making it suitable for low-power and low-complexity communication in IoT applications. However, the performance of existing systems severely degrades in real-life environments, due to irregular “on” and “off” states of ambient signals like WiFi, which are not controllable. In this paper, we propose a joint coding and framing scheme for the backscattering physical layer to fight against the off-state in the excitation signal. We first design transmission schemes including both the Reed-Solomon (RS) codes and the frame structure, to correct the burst error caused by the off states. In order to implement the codes at the resource-constrained tag, we design a look-up table for the encoding process. We prototype our system NuWa that could efficiently backscatter with uncontrolled traffics generated randomly. We demonstrate that NuWa could achieve a 1 Mbps transmission throughput when the tag is over 1  m away from the receiver in high traffic load and 150 kbps in low traffic load. Finally, we evaluate the throughput with respect to the distance change between the tag and the receiver, and 950 kbps is achieved at a distance of $$6\,m$$ 6 m ."
10.1186/s13677-023-00540-5,Agent-based cloud simulation model for resource management,2023-11-15,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","Driven by the successful service model and growing demand, cloud computing has evolved from a moderate-sized data center consisting of homogeneous resources to a heterogeneous hyper-scale computing ecosystem. This evolution has made the modern cloud environment increasingly complex. Large-scale empirical studies of essential concepts such as resource allocation, virtual machine migration, and operational cost reduction have typically been conducted using simulations. This paper presents an agent-based cloud simulation model for resource management. The focus is on how service placement strategies, service migration, and server consolidation affect the overall performance of homogeneous and heterogeneous clouds, in terms of energy consumption, resource utilization, and violation of service-level agreements. The main cloud elements are modeled as autonomous agents whose properties are encapsulated. The complex relationships between components are realized through asynchronous agent-to-agent interactions. Operating states and statistics are displayed in real time. In the evaluation, the efficiency of the simulator is studied empirically. The performance of various resource management algorithms is assessed using statistical methods, and the accuracy of server energy consumption models is examined. The results show that agent-based models can accurately reflect cloud status at a fine-grained level."
10.1186/s13677-023-00541-4,Research on electromagnetic vibration energy harvester for cloud-edge-end collaborative architecture in power grid,2023-11-13,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","With the deepening of the construction of the new type power system, the grid has become increasingly complex, and its safe and stable operation is facing more challenges. In order to improve the quality and efficiency of power grid management, State Grid Corporation continues to promote the digital transformation of the grid, proposing concepts such as cloud-edge-end collaborative architecture and power Internet of Things, for which comprehensive sensing of the grid is an important foundation. Power equipment is widely distributed and has a wide variety of types, and online monitoring of them involves the deployment and application of a large number of power sensors. However, there are various problems in implementing active power supplies for these sensors, which restrict their service life. In order to collect and utilize the vibration energy widely present in the grid to provide power for sensors, this paper proposes an electromagnetic vibration energy harvester and its design methodology based on a four-straight-beam structure, and carries out a trial production of prototype. The vibration pickup unit of the harvester is composed of polyimide cantilevers, a permanent magnet and a mass-adjusting spacer. The mass-adjusting spacer can control the vibration frequency of the vibration unit to match the target frequency. In this paper, a key novel method is proposed to increase the number of turns in a limited volume by stacking flexible coils, which can boost the output voltage of the energy harvester. A test system is built to conduct a performance test for the prototype harvester. According to the test results, the resonant frequency of the device is $$100\ Hz$$ 100 H z , the output peak-to-peak voltage at the resonant frequency is $$2.56\ V$$ 2.56 V at the acceleration of $$1\ g$$ 1 g , and the maximum output power is around $$151.7\ \mu W$$ 151.7 μ W . The proposed four-straight-beam electromagnetic vibration energy harvester in this paper has obvious advantages in output voltage and power compared with state-of-the-art harvesters. It can provide sufficient power for various sensors, support the construction of cloud-edge-end architecture and the deployment of a massive number of power sensors. In the last part of this article, a self-powered transformer vibration monitor is presented, demonstrating the practicality of the proposed vibration energy harvester."
10.1186/s13677-023-00535-2,FedEem: a fairness-based asynchronous federated learning mechanism,2023-11-09,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","Federated learning is a mechanism for model training in distributed systems, aiming to protect data privacy while achieving collective intelligence. In traditional synchronous federated learning, all participants must update the model synchronously, which may result in a decrease in the overall model update frequency due to lagging participants. In order to solve this problem, asynchronous federated learning introduces an asynchronous aggregation mechanism, allowing participants to update models at their own time and rate, and then aggregate each updated edge model on the cloud, thus speeding up the training process. However, under the asynchronous aggregation mechanism, federated learning faces new challenges such as convergence difficulties and unfair model accuracy. This paper first proposes a fairness-based asynchronous federated learning mechanism, which reduces the adverse effects of device and data heterogeneity on the convergence process by using outdatedness and interference-aware weight aggregation, and promotes model personalization and fairness through an early exit mechanism. Mathematical analysis derives the upper bound of convergence speed and the necessary conditions for hyperparameters. Experimental results demonstrate the advantages of the proposed method compared to baseline algorithms, indicating the effectiveness of the proposed method in promoting convergence speed and fairness in federated learning."
10.1186/s13677-023-00515-6,Adaptive device sampling and deadline determination for cloud-based heterogeneous federated learning,2023-11-03,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","As a new approach to machine learning, Federated learning enables distributned traiing on edge devices and aggregates local models into a global model. The edge devices that participate in federated learning are highly heterogeneous in terms of computing power, device state, and data distribution, making it challenging to converge models efficiently. In this paper, we propose FedState, which is an adaptive device sampling and deadline determination technique for cloud-based heterogeneous federated learning. Specifically, we consider the cloud as a central server that orchestrates federated learning on a large pool of edge devices. To improve the efficiency of model convergence in heterogeneous federated learning, our approach adaptively samples devices to join each round of training and determines the deadline for result submission based on device state. We analyze existing device usage traces to build device state models in different scenarios and design a dynamic importance measurement mechanism based on device availability, data utility, and computing power. We also propose a deadline determination module that dynamically sets the deadline according to the availability of all sampled devices, local training time, and communication time, enabling more clients to submit local models more efficiently. Due to the variability of device state, we design an experience-driven algorithm based on Deep Reinforcement Learning (DRL) that can dynamically adjust our sampling and deadline policies according to the current environment state. We demonstrate the effectiveness of our approach through a series of experiments with the FMNIST dataset and show that our method outperforms current state-of-the-art approaches in terms of model accuracy and convergence speed."
10.1186/s13677-023-00531-6,Review on the application of cloud computing in the sports industry,2023-11-02,"Computer Science,Computer Communication Networks,Special Purpose and Application-Based Systems,Information Systems Applications (incl.Internet),Computer Systems Organization and Communication Networks,Computer System Implementation,Software Engineering/Programming and Operating Systems","The transformative impact of cloud computing has permeated various industries, reshaping traditional business models and accelerating digital transformations. In the sports industry, the adoption of cloud computing is burgeoning, significantly enhancing efficiency and unlocking new potentials. This paper provides a comprehensive review of the applications of cloud computing in the sports industry, focusing on areas such as athlete performance tracking, fan engagement, operations management, sports marketing, and event hosting. Moreover, the challenges and potential future developments of cloud computing applications in this industry are also discussed. The purpose of this review is to provide a thorough understanding of the state-of-the-art applications of cloud computing in the sports industry and to inspire further research and development in this field."
